Episode,Mode,Reward,Cumulative_Avg,Avg_100,Improvement_Rate_Pct
0,train,4.0,4.000,4.000,0.00
1,train,5.0,4.500,4.500,0.00
2,train,4.0,4.333,4.333,0.00
3,train,5.0,4.500,4.500,0.00
4,train,5.0,4.600,4.600,0.00
5,train,5.0,4.667,4.667,0.00
6,train,5.0,4.714,4.714,0.00
7,train,4.0,4.625,4.625,0.00
8,train,5.0,4.667,4.667,0.00
9,train,5.0,4.700,4.700,0.00
10,train,5.0,4.727,4.727,0.00
11,train,5.0,4.750,4.750,0.00
12,train,5.0,4.769,4.769,0.00
13,train,4.0,4.714,4.714,0.00
14,train,5.0,4.733,4.733,0.00
15,train,5.0,4.750,4.750,0.00
16,train,5.0,4.765,4.765,0.00
17,train,5.0,4.778,4.778,0.00
18,train,5.0,4.789,4.789,0.00
19,train,5.0,4.800,4.800,0.00
20,train,5.0,4.810,4.810,0.00
21,train,5.0,4.818,4.818,0.00
22,train,4.0,4.783,4.783,0.00
23,train,5.0,4.792,4.792,0.00
24,train,4.0,4.760,4.760,0.00
25,train,5.0,4.769,4.769,0.00
26,train,4.0,4.741,4.741,0.00
27,train,4.0,4.714,4.714,0.00
28,train,4.0,4.690,4.690,0.00
29,train,4.0,4.667,4.667,0.00
30,train,4.0,4.645,4.645,0.00
31,train,5.0,4.656,4.656,0.00
32,train,4.0,4.636,4.636,0.00
33,train,4.0,4.618,4.618,0.00
34,train,4.0,4.600,4.600,0.00
35,train,5.0,4.611,4.611,0.00
36,train,5.0,4.622,4.622,0.00
37,train,5.0,4.632,4.632,0.00
38,train,5.0,4.641,4.641,0.00
39,train,5.0,4.650,4.650,0.00
40,train,5.0,4.659,4.659,0.00
41,train,4.0,4.643,4.643,0.00
42,train,4.0,4.628,4.628,0.00
43,train,4.0,4.614,4.614,0.00
44,train,4.0,4.600,4.600,0.00
45,train,4.0,4.587,4.587,0.00
46,train,5.0,4.596,4.596,0.00
47,train,5.0,4.604,4.604,0.00
48,train,5.0,4.612,4.612,0.00
49,train,5.0,4.620,4.620,0.00
50,train,5.0,4.627,4.627,0.00
51,train,5.0,4.635,4.635,0.00
52,train,5.0,4.642,4.642,0.00
53,train,5.0,4.648,4.648,0.00
54,train,5.0,4.655,4.655,0.00
55,train,5.0,4.661,4.661,0.00
56,train,4.0,4.649,4.649,0.00
57,train,5.0,4.655,4.655,0.00
58,train,4.0,4.644,4.644,0.00
59,train,4.0,4.633,4.633,0.00
60,train,3.0,4.607,4.607,0.00
61,train,5.0,4.613,4.613,0.00
62,train,4.0,4.603,4.603,0.00
63,train,4.0,4.594,4.594,0.00
64,train,5.0,4.600,4.600,0.00
65,train,5.0,4.606,4.606,0.00
66,train,5.0,4.612,4.612,0.00
67,train,5.0,4.618,4.618,0.00
68,train,5.0,4.623,4.623,0.00
69,train,5.0,4.629,4.629,0.00
70,train,4.0,4.620,4.620,0.00
71,train,4.0,4.611,4.611,0.00
72,train,4.0,4.603,4.603,0.00
73,train,4.0,4.595,4.595,0.00
74,train,4.0,4.587,4.587,0.00
75,train,4.0,4.579,4.579,0.00
76,train,5.0,4.584,4.584,0.00
77,train,4.0,4.577,4.577,0.00
78,train,4.0,4.570,4.570,0.00
79,train,5.0,4.575,4.575,0.00
80,train,5.0,4.580,4.580,0.00
81,train,5.0,4.585,4.585,0.00
82,train,5.0,4.590,4.590,0.00
83,train,3.0,4.571,4.571,0.00
84,train,5.0,4.576,4.576,0.00
85,train,5.0,4.581,4.581,0.00
86,train,5.0,4.586,4.586,0.00
87,train,5.0,4.591,4.591,0.00
88,train,5.0,4.596,4.596,0.00
89,train,5.0,4.600,4.600,0.00
90,train,5.0,4.604,4.604,0.00
91,train,4.0,4.598,4.598,0.00
92,train,5.0,4.602,4.602,0.00
93,train,5.0,4.606,4.606,0.00
94,train,5.0,4.611,4.611,0.00
95,train,5.0,4.615,4.615,0.00
96,train,5.0,4.619,4.619,0.00
97,train,5.0,4.622,4.622,0.00
98,train,5.0,4.626,4.626,0.00
99,train,5.0,4.630,4.630,0.00
100_test,test,5.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100_test,test,4.0,0,0,0
100_test,test,5.0,0,0,0
100,train,5.0,4.634,4.640,0.00
101,train,5.0,4.637,4.640,0.00
102,train,5.0,4.641,4.650,0.00
103,train,5.0,4.644,4.650,0.00
104,train,3.0,4.629,4.630,0.00
105,train,4.0,4.623,4.620,0.00
106,train,5.0,4.626,4.620,0.00
107,train,4.0,4.620,4.620,0.00
108,train,5.0,4.624,4.620,0.00
109,train,5.0,4.627,4.620,0.00
110,train,5.0,4.631,4.620,0.00
111,train,5.0,4.634,4.620,0.00
112,train,4.0,4.628,4.610,0.00
113,train,5.0,4.632,4.620,0.00
114,train,4.0,4.626,4.610,0.00
115,train,5.0,4.629,4.610,0.00
116,train,3.0,4.615,4.590,0.00
117,train,4.0,4.610,4.580,0.00
118,train,5.0,4.613,4.580,0.00
119,train,5.0,4.617,4.580,0.00
120,train,4.0,4.612,4.570,0.00
121,train,5.0,4.615,4.570,0.00
122,train,5.0,4.618,4.580,0.00
123,train,5.0,4.621,4.580,0.00
124,train,5.0,4.624,4.590,0.00
125,train,5.0,4.627,4.590,0.00
126,train,5.0,4.630,4.600,0.00
127,train,5.0,4.633,4.610,0.00
128,train,5.0,4.636,4.620,0.00
129,train,5.0,4.638,4.630,0.00
130,train,5.0,4.641,4.640,0.00
131,train,5.0,4.644,4.640,0.00
132,train,5.0,4.647,4.650,0.00
133,train,4.0,4.642,4.650,0.00
134,train,4.0,4.637,4.650,0.00
135,train,4.0,4.632,4.640,0.00
136,train,4.0,4.628,4.630,0.00
