timestamp,cycle,mode,episode_in_mode,total_reward,steps,v_out_mean
1768404558,1,train,0,1.0,157,-51.04844284057617
1768404583,1,train,1,0.0,165,-53.28318786621094
1768404622,1,train,2,3.0,247,-58.4229621887207
1768404653,1,train,3,2.0,203,-60.90779495239258
1768404684,1,train,4,2.0,199,-61.456451416015625
1768404718,1,train,5,2.0,217,-63.48434829711914
1768404751,1,train,6,2.0,216,-63.94529342651367
1768404791,1,train,7,3.0,259,-63.709228515625
1768404821,1,train,8,2.0,197,-61.215065002441406
1768404852,1,train,9,2.0,197,-60.1777229309082
1768404890,1,train,10,3.0,246,-60.694705963134766
1768404929,1,train,11,2.0,254,-64.50482940673828
1768404960,1,train,12,2.0,204,-64.18035888671875
1768405000,1,train,13,3.0,254,-62.84400939941406
1768405038,1,train,14,3.0,248,-62.34096145629883
1768405076,1,train,15,3.0,246,-62.126800537109375
1768405096,1,train,16,0.0,130,-61.98003005981445
1768405127,1,train,17,2.0,199,-62.00249481201172
1768405161,1,train,18,2.0,222,-62.74751281738281
1768405192,1,train,19,2.0,206,-63.38899230957031
1768405223,1,train,20,2.0,199,-62.72154998779297
1768405254,1,train,21,2.0,200,-61.3263053894043
1768405286,1,train,22,2.0,208,-60.807247161865234
1768405325,1,train,23,3.0,254,-61.547515869140625
1768405363,1,train,24,3.0,246,-62.212867736816406
1768405401,1,train,25,3.0,247,-63.41704559326172
1768405432,1,train,26,2.0,201,-62.50904846191406
1768405464,1,train,27,2.0,205,-62.41252899169922
1768405502,1,train,28,3.0,247,-62.96221160888672
1768405541,1,train,29,3.0,247,-62.20014190673828
1768405579,1,train,30,3.0,251,-62.10380554199219
1768405610,1,train,31,2.0,198,-62.58809280395508
1768405631,1,train,32,0.0,135,-60.884159088134766
1768405669,1,train,33,3.0,245,-62.05900955200195
1768405707,1,train,34,3.0,246,-62.74590301513672
1768405739,1,train,35,2.0,207,-63.668914794921875
1768405769,1,train,36,2.0,198,-61.46465301513672
1768405800,1,train,37,2.0,198,-60.533111572265625
1768405831,1,train,38,2.0,199,-61.34154510498047
1768405862,1,train,39,2.0,199,-61.885189056396484
1768405892,1,train,40,2.0,198,-62.77787399291992
1768405924,1,train,41,2.0,203,-64.5226058959961
1768405954,1,train,42,0.0,195,-65.66677856445312
1768405979,1,train,43,0.0,162,-65.54147338867188
1768406001,1,train,44,0.0,146,-65.33332824707031
1768406023,1,train,45,0.0,143,-65.73926544189453
1768406045,1,train,46,0.0,138,-65.64936828613281
1768406065,1,train,47,0.0,132,-65.80488586425781
1768406098,1,train,48,2.0,215,-65.6802978515625
1768406119,1,train,49,0.0,137,-65.54423522949219
1768406143,1,train,50,0.0,154,-65.45824432373047
1768406168,1,train,51,0.0,159,-65.71671295166016
1768406192,1,train,52,0.0,159,-65.7702865600586
1768406216,1,train,53,0.0,156,-65.7164306640625
1768406242,1,train,54,0.0,167,-65.77324676513672
1768406268,1,train,55,0.0,168,-65.78013610839844
1768406291,1,train,56,0.0,148,-65.6513671875
1768406325,1,train,57,2.0,221,-65.62535858154297
1768406365,1,train,58,3.0,255,-62.93934631347656
1768406396,1,train,59,2.0,201,-62.420284271240234
1768406429,1,train,60,2.0,213,-62.64750671386719
1768406448,1,train,61,0.0,127,-63.144142150878906
1768406487,1,train,62,3.0,249,-62.76325225830078
1768406525,1,train,63,3.0,248,-62.69355392456055
1768406561,1,train,64,2.0,230,-64.96522521972656
1768406597,1,train,65,2.0,235,-64.26837921142578
1768406635,1,train,66,3.0,247,-61.56333923339844
1768406656,1,train,67,0.0,135,-62.945186614990234
1768406677,1,train,68,0.0,134,-63.23515319824219
1768406707,1,train,69,2.0,197,-62.585697174072266
1768406740,1,train,70,2.0,209,-63.23808670043945
1768406773,1,train,71,2.0,213,-64.62183380126953
1768406813,1,train,72,3.0,259,-63.748016357421875
1768406844,1,train,73,2.0,203,-63.79624557495117
1768406866,1,train,74,0.0,139,-64.64634704589844
1768406889,1,train,75,0.0,152,-64.67518615722656
1768406921,1,train,76,2.0,208,-64.16687774658203
1768406952,1,train,77,2.0,199,-62.70494842529297
1768406984,1,train,78,2.0,203,-63.2236442565918
1768407015,1,train,79,2.0,201,-63.6513557434082
1768407054,1,train,80,3.0,253,-62.38966369628906
1768407085,1,train,81,2.0,200,-61.87263107299805
1768407115,1,train,82,2.0,198,-62.48656463623047
1768407153,1,train,83,3.0,247,-62.40025329589844
1768407185,1,train,84,2.0,201,-62.37640380859375
1768407223,1,train,85,3.0,246,-62.74822998046875
1768407246,1,train,86,0.0,148,-64.45584106445312
1768407278,1,train,87,2.0,213,-64.33699035644531
1768407311,1,train,88,2.0,211,-64.90516662597656
1768407352,1,train,89,3.0,269,-65.53174591064453
1768407388,1,train,90,2.0,228,-65.25454711914062
1768407410,1,train,91,0.0,146,-65.08007049560547
1768407434,1,train,92,0.0,152,-64.79318237304688
1768407468,1,train,93,2.0,220,-64.68219757080078
1768407489,1,train,94,0.0,138,-64.33110809326172
1768407514,1,train,95,0.0,159,-64.46451568603516
1768407552,1,train,96,3.0,251,-62.81096267700195
1768407583,1,train,97,2.0,199,-61.46492385864258
1768407616,1,train,98,2.0,212,-62.532005310058594
1768407655,1,train,99,3.0,252,-62.793453216552734
1768407655,1,train_cycle_avg,-1,1.7,202,-63.09958000183106
1768407678,1,test,0,2.0,201,-62.09522247314453
1768407702,1,test,1,2.0,200,-62.37606430053711
1768407725,1,test,2,2.0,202,-62.78251266479492
1768407754,1,test,3,3.0,245,-62.39735794067383
1768407783,1,test,4,3.0,249,-62.391014099121094
1768407807,1,test,5,2.0,203,-62.47224044799805
1768407830,1,test,6,2.0,203,-62.53915023803711
1768407854,1,test,7,2.0,203,-62.49637985229492
1768407877,1,test,8,2.0,199,-62.354068756103516
1768407901,1,test,9,2.0,202,-62.35160827636719
1768407929,1,test,10,3.0,246,-62.69611358642578
1768407954,1,test,11,2.0,208,-62.543968200683594
1768407983,1,test,12,3.0,251,-62.5380744934082
1768408007,1,test,13,2.0,206,-62.562644958496094
1768408036,1,test,14,3.0,247,-62.536800384521484
1768408059,1,test,15,2.0,198,-62.591983795166016
1768408083,1,test,16,2.0,206,-62.3541145324707
1768408106,1,test,17,2.0,197,-62.19104766845703
