timestamp,cycle,mode,episode_in_mode,total_reward,reward_cum_avg,steps,v_out_mean,out_first_spike_step,out_first_spike_time,out_first_spike_neurons,reward_std
1770050973,1,train,0,2.0,2.0,205,-52.25685501098633,3,3.0,0|1|2|3,
1770051027,1,train,1,5.0,3.5,345,-53.43273162841797,3,3.0,0|1|2|3,
1770051058,1,train,2,2.0,3.0,205,-53.067787170410156,3,3.0,0|1|2|3,
1770051091,1,train,3,2.0,2.75,215,-52.535579681396484,3,3.0,0|1|2|3,
1770051112,1,train,4,0.0,2.2,133,-53.178184509277344,3,3.0,0|1|2|3,
1770051145,1,train,5,2.0,2.1666666666666665,220,-52.77666091918945,3,3.0,0|1|2|3,
1770051165,1,train,6,0.0,1.8571428571428572,129,-51.4570426940918,3,3.0,0|1|2|3,
1770051192,1,train,7,1.0,1.75,173,-52.3386344909668,3,3.0,0|1|2|3,
1770051212,1,train,8,0.0,1.5555555555555556,133,-53.0955924987793,3,3.0,0|1|2|3,
1770051234,1,train,9,0.0,1.4,142,-53.132137298583984,3,3.0,0|1|2|3,
1770051259,1,train,10,1.0,1.3636363636363635,167,-53.229339599609375,3,3.0,0|1|2|3,
1770051292,1,train,11,2.0,1.4166666666666667,215,-53.34011459350586,3,3.0,0|1|2|3,
1770051313,1,train,12,0.0,1.3076923076923077,134,-53.58189010620117,3,3.0,0|1|2|3,
1770051345,1,train,13,2.0,1.3571428571428572,207,-53.30575942993164,3,3.0,0|1|2|3,
1770051365,1,train,14,0.0,1.2666666666666666,135,-53.729156494140625,3,3.0,0|1|2|3,
1770051399,1,train,15,2.0,1.3125,219,-53.6818962097168,3,3.0,0|1|2|3,
1770051427,1,train,16,1.0,1.2941176470588236,182,-53.346004486083984,3,3.0,0|1|2|3,
1770051452,1,train,17,1.0,1.2777777777777777,164,-52.35221862792969,3,3.0,0|1|2|3,
1770051478,1,train,18,1.0,1.263157894736842,171,-53.473663330078125,3,3.0,0|1|2|3,
1770051498,1,train,19,0.0,1.2,134,-53.89594268798828,3,3.0,0|1|2|3,
1770051520,1,train,20,0.0,1.1428571428571428,143,-53.90816879272461,3,3.0,0|1|2|3,
1770051548,1,train,21,1.0,1.1363636363636365,179,-53.979793548583984,3,3.0,0|1|2|3,
1770051569,1,train,22,0.0,1.0869565217391304,139,-53.24768829345703,3,3.0,0|1|2|3,
1770051590,1,train,23,0.0,1.0416666666666667,133,-53.9681396484375,3,3.0,0|1|2|3,
1770051611,1,train,24,0.0,1.0,135,-54.22739791870117,3,3.0,0|1|2|3,
1770051632,1,train,25,0.0,0.9615384615384616,139,-53.51125717163086,3,3.0,0|1|2|3,
1770051664,1,train,26,2.0,1.0,208,-53.38962173461914,3,3.0,0|1|2|3,
1770051685,1,train,27,0.0,0.9642857142857143,140,-53.4300651550293,3,3.0,0|1|2|3,
1770051707,1,train,28,0.0,0.9310344827586207,145,-53.74043273925781,3,3.0,0|1|2|3,
1770051727,1,train,29,0.0,0.9,130,-52.89335632324219,3,3.0,0|1|2|3,
1770051759,1,train,30,2.0,0.9354838709677419,207,-53.737239837646484,3,3.0,0|1|2|3,
1770051780,1,train,31,0.0,0.90625,141,-53.43254470825195,3,3.0,0|1|2|3,
1770051807,1,train,32,1.0,0.9090909090909091,176,-53.540428161621094,3,3.0,0|1|2|3,
1770051827,1,train,33,0.0,0.8823529411764706,129,-53.29606628417969,3,3.0,0|1|2|3,
1770051847,1,train,34,0.0,0.8571428571428571,135,-53.32807540893555,3,3.0,0|1|2|3,
1770051871,1,train,35,0.0,0.8333333333333334,152,-53.44760513305664,3,3.0,0|1|2|3,
1770051906,1,train,36,3.0,0.8918918918918919,229,-54.01687240600586,3,3.0,0|1|2|3,
1770051928,1,train,37,0.0,0.868421052631579,143,-53.76116180419922,3,3.0,0|1|2|3,
1770051960,1,train,38,2.0,0.8974358974358975,209,-53.804176330566406,3,3.0,0|1|2|3,
1770051981,1,train,39,0.0,0.875,139,-52.99032211303711,3,3.0,0|1|2|3,
1770052024,1,train,40,4.0,0.9512195121951219,281,-53.2270622253418,3,3.0,0|1|2|3,
1770052045,1,train,41,0.0,0.9285714285714286,136,-53.22360610961914,3,3.0,0|1|2|3,
1770052085,1,train,42,4.0,1.0,267,-52.89180374145508,3,3.0,0|1|2|3,
1770052106,1,train,43,0.0,0.9772727272727273,133,-51.403419494628906,3,3.0,0|1|2|3,
1770052156,1,train,44,4.0,1.0444444444444445,327,-52.911102294921875,3,3.0,0|1|2|3,
1770052193,1,train,45,3.0,1.0869565217391304,243,-53.43320083618164,3,3.0,0|1|2|3,
1770052224,1,train,46,2.0,1.1063829787234043,200,-52.692779541015625,3,3.0,0|1|2|3,
1770052248,1,train,47,1.0,1.1041666666666667,157,-52.96367645263672,3,3.0,0|1|2|3,
1770052278,1,train,48,2.0,1.1224489795918366,198,-53.47307586669922,3,3.0,0|1|2|3,
1770052312,1,train,49,2.0,1.14,227,-52.1062126159668,3,3.0,0|1|2|3,
1770052333,1,train,50,0.0,1.1176470588235294,131,-50.76620101928711,3,3.0,0|1|2|3,
1770052352,1,train,51,0.0,1.0961538461538463,130,-51.013885498046875,3,3.0,0|1|2|3,
1770052378,1,train,52,0.0,1.0754716981132075,165,-51.17356872558594,3,3.0,0|1|2|3,
1770052398,1,train,53,0.0,1.0555555555555556,134,-51.24750900268555,3,3.0,0|1|2|3,
1770052427,1,train,54,1.0,1.0545454545454545,191,-52.778076171875,3,3.0,0|1|2|3,
1770052455,1,train,55,1.0,1.0535714285714286,181,-54.347591400146484,3,3.0,0|1|2|3,
1770052475,1,train,56,0.0,1.0350877192982457,133,-54.447635650634766,3,3.0,0|1|2|3,
1770052499,1,train,57,1.0,1.0344827586206897,155,-54.0250129699707,3,3.0,0|1|2|3,
1770052537,1,train,58,3.0,1.0677966101694916,249,-53.158935546875,3,3.0,0|1|2|3,
1770052556,1,train,59,0.0,1.05,126,-53.40104293823242,3,3.0,0|1|2|3,
1770052581,1,train,60,1.0,1.0491803278688525,162,-53.302398681640625,3,3.0,0|1|2|3,
1770052602,1,train,61,0.0,1.032258064516129,137,-53.77622985839844,3,3.0,0|1|2|3,
1770052634,1,train,62,2.0,1.0476190476190477,212,-53.144989013671875,3,3.0,0|1|2|3,
1770052668,1,train,63,2.0,1.0625,215,-53.1239128112793,3,3.0,0|1|2|3,
1770052711,1,train,64,4.0,1.1076923076923078,284,-53.548484802246094,3,3.0,0|1|2|3,
1770052748,1,train,65,2.0,1.121212121212121,243,-53.85757064819336,3,3.0,0|1|2|3,
1770052783,1,train,66,2.0,1.1343283582089552,226,-53.19271469116211,3,3.0,0|1|2|3,
1770052803,1,train,67,0.0,1.1176470588235294,135,-53.75281524658203,3,3.0,0|1|2|3,
1770052839,1,train,68,2.0,1.1304347826086956,235,-53.12246322631836,3,3.0,0|1|2|3,
1770052859,1,train,69,0.0,1.1142857142857143,127,-52.33258819580078,3,3.0,0|1|2|3,
1770052884,1,train,70,1.0,1.1126760563380282,167,-53.17466354370117,3,3.0,0|1|2|3,
1770052913,1,train,71,1.0,1.1111111111111112,192,-53.00495910644531,3,3.0,0|1|2|3,
1770052933,1,train,72,0.0,1.095890410958904,126,-52.0325927734375,3,3.0,0|1|2|3,
1770052952,1,train,73,0.0,1.0810810810810811,129,-52.40617370605469,3,3.0,0|1|2|3,
1770052980,1,train,74,1.0,1.08,181,-53.32892990112305,3,3.0,0|1|2|3,
1770053021,1,train,75,3.0,1.105263157894737,269,-53.88850402832031,3,3.0,0|1|2|3,
1770053042,1,train,76,0.0,1.0909090909090908,138,-54.05699157714844,3,3.0,0|1|2|3,
1770053071,1,train,77,1.0,1.0897435897435896,189,-53.50468063354492,3,3.0,0|1|2|3,
1770053105,1,train,78,2.0,1.1012658227848102,223,-52.940269470214844,3,3.0,0|1|2|3,
1770053136,1,train,79,2.0,1.1125,201,-53.35152816772461,3,3.0,0|1|2|3,
1770053162,1,train,80,1.0,1.1111111111111112,170,-53.53657531738281,3,3.0,0|1|2|3,
1770053182,1,train,81,0.0,1.0975609756097562,133,-54.713600158691406,3,3.0,0|1|2|3,
1770053215,1,train,82,2.0,1.108433734939759,214,-53.72669219970703,3,3.0,0|1|2|3,
1770053247,1,train,83,2.0,1.119047619047619,208,-53.43703079223633,3,3.0,0|1|2|3,
1770053270,1,train,84,0.0,1.1058823529411765,150,-54.2315673828125,3,3.0,0|1|2|3,
1770053299,1,train,85,1.0,1.1046511627906976,193,-54.166473388671875,3,3.0,0|1|2|3,
1770053333,1,train,86,2.0,1.1149425287356323,220,-53.353816986083984,3,3.0,0|1|2|3,
1770053358,1,train,87,1.0,1.1136363636363635,163,-52.52235412597656,3,3.0,0|1|2|3,
1770053399,1,train,88,3.0,1.1348314606741574,271,-52.89722442626953,3,3.0,0|1|2|3,
1770053419,1,train,89,0.0,1.1222222222222222,131,-52.47550582885742,3,3.0,0|1|2|3,
1770053450,1,train,90,2.0,1.1318681318681318,203,-51.71266555786133,3,3.0,0|1|2|3,
